obs;time;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;Attention;Meditation;Derived;totPwr;class;;;
66;78.02.00;24596;32970;8254;1972;10004;17333;6806;1551;87;48;NA;103486;X;;;
67;79.02.00;70326;35112;1056;2418;2390;5903;7595;1131;64;29;NA;125931;X;;;
68;80.02.00;29098;5417;9593;2587;18203;9369;8948;2059;74;24;NA;85274;X;;;
69;81.02.00;7455;6287;11404;14334;22214;15680;6618;2888;83;24;NA;86880;X;;;
70;82.02.00;79182;90996;9539;19683;18945;22472;5241;3692;74;27;NA;249750;X;;;
71;83.02.00;36920;33274;11687;7858;17196;37970;14308;6785;93;38;NA;165998;X;;;
72;84.02.00;67179;13425;7968;24470;15242;14065;6182;4300;84;48;NA;152831;X;;;
73;85.02.00;68292;9396;8455;17830;10887;20394;7592;6912;87;50;NA;149758;X;;;
74;86.02.00;14644;23149;21549;8117;8070;20131;8810;4167;94;60;NA;108637;X;;;
75;87.02.00;197087;197241;34429;46552;40562;16020;8276;4636;64;63;NA;544803;X;;;
76;88.02.00;24616;15081;12595;15422;27421;17016;19215;5897;67;57;NA;137263;X;;;
77;89.02.00;657430;26268;12005;11958;15059;19467;15773;9740;64;51;NA;767700;X;;;
78;89.02.00;8848;24435;13077;11052;4862;13785;7802;4485;61;51;NA;88346;X;;;
