obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
57, 68.3, 110168, 121420, 12838, 5998, 2602, 4902, 4978, 1234, 17, 41, NA, 264140,  X
58, 69.3, 68107, 78019, 3062, 5506, 4846, 10713, 5176, 2745, 21, 20, NA, 178174,  X
59, 70.3, 227699, 25729, 4144, 2413, 2518, 2770, 1596, 451, 34, 8, NA, 267320,  X
60, 71.3, 343477, 51451, 6591, 6741, 6421, 5841, 5822, 1785, 47, 11, NA, 428129,  X
61, 72.3, 65528, 21651, 1775, 3182, 1255, 2962, 1037, 648, 57, 14, NA, 98038,  X
62, 73.3, 71866, 101380, 4694, 13954, 3588, 7605, 6244, 4993, 51, 21, NA, 214324,  X
63, 75.3, 101329, 8862, 598, 5311, 970, 2064, 1430, 444, 56, 29, NA, 121008,  X
64, 76.3, 214869, 106964, 6326, 9213, 6448, 6635, 5243, 7411, 48, 27, NA, 363109,  X
65, 77.3, 91125, 78450, 22597, 5316, 8202, 14525, 3784, 4725, 56, 30, NA, 228724,  X
66, 79.3, 104460, 24360, 8408, 8510, 6272, 4582, 5938, 2772, 53, 30, NA, 165302,  X
67, 80.2, 69069, 8308, 590, 1253, 201, 1615, 1391, 531, 61, 26, NA, 82958,  X
68, 81.3, 19105, 48350, 22377, 5815, 5010, 3634, 2719, 696, 51, 34, NA, 107706,  X
69, 83.2, 33100, 18429, 9661, 4932, 3693, 3844, 2769, 2729, 51, 35, NA, 79157,  X
70, 84.2, 111926, 30549, 7038, 16202, 10622, 3597, 3150, 500, 35, 60, NA, 183584,  X
71, 85.2, 26806, 7327, 4589, 1166, 2322, 722, 432, 139, 37, 60, NA, 43503,  X
72, 86.2, 314427, 68817, 3930, 11300, 3672, 15597, 2850, 1152, 41, 48, NA, 421745,  X
73, 87.2, 161074, 180424, 12346, 12014, 4464, 7720, 11204, 2258, 47, 37, NA, 391504,  X
74, 88.2, 16776, 25647, 6113, 6644, 5875, 5321, 3613, 1182, 53, 30, NA, 71171,  X
75, 90.2, 12003, 13734, 5755, 2644, 2129, 987, 939, 872, 51, 30, NA, 39063,  X
76, 91.2, 98580, 68886, 2879, 15635, 15030, 5628, 3181, 1190, 44, 38, NA, 211009,  X
77, 92.2, 41898, 70983, 6875, 3581, 10584, 9192, 4371, 1619, 43, 27, NA, 149103,  X
78, 94.2, 389265, 78181, 23791, 8791, 5025, 9333, 3338, 2217, 50, 23, NA, 519941,  X
79, 95.2, 83209, 93647, 11386, 4708, 3290, 5216, 6764, 5440, 54, 30, NA, 213660,  X
80, 96.2, 100954, 59312, 12221, 9719, 5106, 4060, 3333, 1169, 47, 40, NA, 195874,  X
81, 98.2, 47681, 33271, 6602, 12818, 4763, 5560, 1911, 3148, 48, 43, NA, 115754,  X
82, 99.2, 64371, 86281, 11851, 3807, 1959, 5050, 2604, 2698, 47, 41, NA, 178621,  X
83, 100.2, 103485, 50483, 14641, 3851, 18042, 5127, 4337, 1409, 48, 41, NA, 201375,  X
84, 101.1, 112688, 99649, 27315, 12388, 7104, 9477, 4890, 1632, 44, 37, NA, 275143,  X
85, 102.1, 35683, 46866, 20704, 3208, 8758, 6263, 8456, 2662, 40, 35, NA, 132600,  X
86, 103.2, 16529, 54983, 27230, 17716, 3851, 3309, 3081, 594, 35, 47, NA, 127293,  X
87, 105.1, 27352, 18720, 2045, 4228, 4706, 2092, 1165, 1293, 37, 47, NA, 61601,  X
88, 105.1, 43382, 12203, 2138, 6068, 5044, 2966, 2855, 1605, 50, 56, NA, 76261,  X
