obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
58, 69.9, 40554, 65839, 16284, 28037, 7559, 7666, 3123, 1620, 41, 54, NA, 170682,  X
59, 70.9, 81274, 110627, 13125, 19880, 5476, 3466, 1704, 2253, 27, 57, NA, 237805,  X
60, 71.9, 142230, 36076, 7314, 2425, 1001, 2367, 1243, 387, 35, 50, NA, 193043,  X
61, 72.9, 45625, 48810, 11198, 10600, 6222, 5427, 1095, 673, 38, 47, NA, 129650,  X
62, 74.9, 13763, 25614, 4489, 4205, 7954, 3067, 3775, 1027, 38, 37, NA, 63894,  X
63, 75.9, 26607, 7037, 3201, 3723, 2526, 902, 746, 203, 43, 63, NA, 44945,  X
64, 76.9, 38723, 38325, 13929, 9876, 6792, 2780, 1698, 1397, 38, 66, NA, 113520,  X
65, 78.9, 99169, 30784, 928, 628, 1563, 2079, 449, 585, 37, 51, NA, 136185,  X
66, 79.9, 83467, 32848, 2614, 1308, 870, 2470, 552, 174, 38, 30, NA, 124303,  X
67, 80.9, 94261, 48386, 14862, 16105, 6413, 3781, 3821, 2935, 40, 35, NA, 190564,  X
68, 82.9, 64733, 66756, 23155, 49565, 2063, 3650, 1349, 1455, 30, 69, NA, 212726,  X
69, 83.9, 98382, 100857, 25621, 21926, 18494, 4034, 2341, 1473, 29, 83, NA, 273128,  X
70, 84.9, 64605, 89263, 2920, 11684, 4928, 3403, 2699, 2183, 26, 67, NA, 181685,  X
71, 85.9, 104849, 27078, 10168, 3989, 3133, 657, 1195, 213, 23, 57, NA, 151282,  X
72, 86.8, 43272, 18526, 3021, 2395, 3827, 6907, 2309, 584, 34, 44, NA, 80841,  X
73, 87.9, 22564, 18561, 18077, 10890, 7324, 9549, 3886, 2896, 53, 54, NA, 93747,  X
74, 88.9, 57714, 159519, 14232, 17437, 7754, 2697, 1340, 1857, 44, 56, NA, 262550,  X
75, 89.8, 98717, 13541, 1184, 965, 1337, 1896, 1232, 712, 63, 43, NA, 119584,  X
76, 90.8, 490153, 212948, 110908, 27967, 18381, 11663, 3372, 2502, 43, 56, NA, 877894,  X
77, 91.9, 22402, 32493, 10325, 7566, 1958, 2945, 2868, 1221, 30, 50, NA, 81778,  X
78, 93.8, 105882, 37589, 2917, 1172, 1716, 1723, 825, 239, 40, 43, NA, 152063,  X
79, 94.8, 50086, 41393, 42036, 3061, 8440, 6912, 4980, 1826, 40, 54, NA, 158734,  X
80, 95.8, 112690, 34250, 3524, 3332, 970, 1550, 252, 383, 37, 44, NA, 156951,  X
81, 97.8, 64894, 31225, 17998, 9458, 4410, 5037, 3861, 590, 43, 66, NA, 137473,  X
82, 98.8, 72196, 55696, 18717, 10559, 7042, 2893, 3927, 2981, 38, 66, NA, 174011,  X
83, 99.8, 92007, 33100, 4662, 3266, 5370, 794, 738, 358, 30, 67, NA, 140295,  X
84, 101.8, 26728, 46690, 10886, 4053, 3663, 3676, 3042, 2202, 27, 56, NA, 100940,  X
85, 102.8, 23630, 14408, 11097, 7010, 2923, 2912, 746, 130, 41, 63, NA, 62856,  X
86, 103.8, 166340, 41380, 23493, 42149, 6306, 2672, 3171, 2943, 44, 84, NA, 288454,  X
87, 103.8, 216872, 45976, 9596, 13654, 7558, 3230, 2811, 1434, 41, 90, NA, 301131,  X
