obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 0.1, 236798, 25679, 4840, 5535, 2048, 2808, 1667, 396, 44, 57, NA, 279771,  X*
2, 2.1, 344179, 377593, 17777, 163962, 121242, 135098, 15771, 10960, 51, 53, NA, 1186582,  X*
3, 3.1, 21918, 5273, 2374, 7314, 1929, 2162, 2016, 303, 69, 88, NA, 43289,  X*
4, 4.1, 121323, 12380, 1772, 856, 4002, 2667, 2543, 647, 81, 78, NA, 146190,  X*
5, 4.1, 323862, 28166, 14094, 13755, 7365, 5967, 1979, 573, 69, 87, NA, 395761,  X*
