obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 71.1, 125122, 9760, 4881, 1840, 5389, 3417, 1135, 1024, 47, 50, NA, 152568,  4
57, 73.0, 2709977, 105143, 55862, 4373, 6902, 7100, 8283, 946, 37, 51, NA, 2898586,  4
58, 74.0, 64570, 26682, 7986, 2194, 7905, 2698, 1837, 1156, 38, 40, NA, 115028,  4
59, 75.1, 775012, 16525, 4178, 9936, 13634, 11174, 9209, 3476, 44, 40, NA, 843144,  4
60, 77.0, 1497322, 229439, 148464, 172811, 92094, 110425, 27467, 5427, 61, 43, NA, 2283449,  4
61, 79.0, 471888, 215228, 73649, 173885, 90844, 101838, 21838, 9489, 61, 53, NA, 1158659,  4
62, 80.0, 1022863, 977261, 107538, 136389, 86182, 166010, 21045, 9016, 67, 51, NA, 2526304,  4
63, 81.0, 1390383, 142482, 33683, 90118, 152612, 133412, 18104, 3608, 70, 50, NA, 1964402,  4
64, 82.0, 1934051, 477298, 100068, 242919, 83688, 105239, 47062, 25649, 66, 47, NA, 3015974,  4
65, 88.0, 35548, 58021, 21453, 12345, 7188, 11625, 3391, 2833, 61, 43, NA, 152404,  4
66, 90.0, 1490122, 848663, 144940, 332383, 62501, 138201, 65672, 32910, 48, 50, NA, 3115392,  4
67, 90.9, 1406985, 177834, 75348, 88801, 132354, 96840, 23418, 24123, 56, 48, NA, 2025703,  4
68, 92.0, 1690566, 724516, 189404, 292342, 211320, 163947, 120146, 69415, 57, 48, NA, 3461656,  4
69, 93.0, 474687, 48116, 11081, 7293, 11699, 16074, 4648, 350, 60, 47, NA, 573948,  4
70, 94.0, 153234, 257922, 65424, 39892, 50290, 41769, 21004, 4607, 60, 41, NA, 634142,  4
71, 94.9, 1620515, 918053, 120770, 231794, 133562, 235430, 20814, 5797, 56, 37, NA, 3286735,  4
72, 96.0, 552805, 100575, 4614, 24063, 25846, 25989, 4642, 3426, 60, 27, NA, 741960,  4
73, 96.9, 1800178, 1869073, 127431, 77498, 165730, 61221, 41339, 8612, 38, 17, NA, 4151082,  4
74, 98.9, 118004, 33192, 7264, 22431, 20605, 7682, 4778, 362, 38, 23, NA, 214318,  4
75, 100.0, 272784, 89256, 55770, 16815, 3949, 10312, 17693, 5520, 23, 50, NA, 472099,  4
76, 100.0, 857591, 249161, 49469, 22932, 17574, 30418, 16370, 5217, 37, 57, NA, 1248732,  4
