obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
57, 68.3, 48434, 109370, 18073, 4018, 13023, 13122, 7409, 2285, 29, 67, NA, 215734,  X
58, 69.3, 139249, 21012, 35779, 1516, 9689, 26210, 6658, 6064, 48, 69, NA, 246177,  X
59, 71.3, 458520, 33956, 53657, 27640, 28099, 30175, 6465, 5079, 53, 74, NA, 643591,  X
60, 72.3, 642541, 36674, 14163, 25008, 10574, 5908, 1075, 1280, 50, 74, NA, 737223,  X
61, 73.3, 148537, 90992, 72590, 6698, 67329, 17485, 8733, 3563, 38, 67, NA, 415927,  X
62, 74.3, 49258, 22445, 4779, 4645, 8364, 6298, 2378, 581, 35, 56, NA, 98748,  X
63, 75.3, 200370, 63764, 27610, 27919, 15637, 10683, 8267, 4971, 43, 70, NA, 359221,  X
64, 76.3, 17136, 77078, 17945, 24775, 14868, 23452, 5444, 841, 51, 63, NA, 181539,  X
65, 78.2, 13685, 26657, 25736, 8292, 12521, 16011, 3901, 2172, 60, 66, NA, 108975,  X
66, 79.3, 75006, 54108, 18055, 32505, 11594, 11507, 6461, 6594, 54, 78, NA, 215830,  X
67, 80.3, 26457, 37046, 28392, 12840, 13733, 12688, 3315, 1945, 53, 84, NA, 136416,  X
68, 82.2, 16748, 23760, 15564, 24483, 4958, 8773, 4370, 2967, 48, 90, NA, 101623,  X
69, 83.2, 41424, 23366, 21631, 17624, 5571, 23475, 4573, 1302, 80, 83, NA, 138966,  X
70, 84.3, 37591, 29907, 4472, 12705, 13037, 28129, 8494, 2128, 91, 74, NA, 136463,  X
71, 85.2, 134189, 41001, 20994, 7963, 3134, 11240, 5613, 4019, 91, 67, NA, 228153,  X
72, 86.2, 140295, 27127, 13738, 20040, 20269, 19584, 7668, 4877, 81, 70, NA, 253598,  X
73, 87.2, 48713, 45881, 2838, 24182, 4590, 13318, 4399, 3668, 77, 64, NA, 147589,  X
74, 88.2, 44519, 39345, 15967, 33745, 17956, 10260, 2702, 5737, 63, 77, NA, 170231,  X
75, 89.2, 30299, 47622, 21877, 11418, 12833, 11243, 7158, 1993, 61, 75, NA, 144443,  X
76, 90.2, 52966, 48851, 18565, 8526, 12825, 5453, 9583, 5958, 48, 74, NA, 162727,  X
