obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
71,88.05.00,633417,61813,15759,31333,2817,3903,2427,1512,27,66,NA,752981,4
72,89.05.00,34196,94868,46331,6359,15398,142413,19154,2203,43,69,NA,360922,4
73,90.05.00,314399,50537,45662,31021,20578,47393,6424,4189,34,83,NA,520203,4
74,91.05.00,148024,17366,2358,10794,6712,14729,4652,568,44,88,NA,205203,4
75,92.05.00,128170,86844,6095,14028,7449,24154,18804,1827,56,70,NA,287371,4
76,93.05.00,87401,22693,48278,29834,24606,44131,24182,2320,51,90,NA,283445,4
77,94.05.00,293001,59299,38678,9512,20608,13216,9564,3563,43,87,NA,447441,4
78,96.04.00,60418,140692,13755,13752,3945,21104,5493,1345,35,78,NA,260504,4
79,97.04.00,11901,3685,4074,20061,14161,90850,10281,2169,54,63,NA,157182,4
80,98.04.00,17673,26809,11728,12575,6095,42283,13420,3050,66,56,NA,133633,4
81,100.04.00,241819,34453,9310,21598,4745,77003,6117,662,81,63,NA,395707,4
82,100.04.00,152753,100502,17400,7127,16680,115033,46936,2896,66,51,NA,459327,4
